"scrape_datetime","etf_ticker","etf_name","holdings_date","ticker","isin","security_name","security_type","shares","value","pct_assets"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","OC","US6907421019","OWENS CORNING INC","Common Stock","30177.0","4795125.3","0.0031"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CARR","US14448C1045","CARRIER GLOBAL CORP","Common Stock","81933.0","4791441.84","0.0031"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","FLT","US3390411052","FLEETCOR TECHNOLOGIES INC","Common Stock","15127.0","4634761.53","0.003"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","TAP","US60871R2094","MOLSON COORS BEVERAGE CO B","Common Stock","67570.0","4594760.0","0.0029"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","KMB","US4943681035","KIMBERLY CLARK CORP","Common Stock","35640.0","4456782.0","0.0029"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","GGG","US3841091040","GRACO INC","Common Stock","47516.0","4400931.92","0.0028"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","SBAC","US78410G1040","SBA COMMUNICATIONS CORP","Common Stock","20420.0","4391933.6","0.0028"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","A","US00846U1016","AGILENT TECHNOLOGIES INC","Common Stock","29696.0","4376893.44","0.0028"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","HPE","US42824C1099","HEWLETT PACKARD ENTERPRISE CO","Common Stock","252877.0","4243276.06","0.0027"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","HES","US42809H1077","HESS CORP","Common Stock","27116.0","4121360.84","0.0026"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","GTES","GB00BD9G2S12","GATES INDUSTRIAL CORP PLC","Common Stock","234287.0","4088308.15","0.0026"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","DVN","US25179M1036","DEVON ENERGY CORP","Common Stock","83564.0","4047004.52","0.0026"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ZION","US9897011071","ZIONS BANCORP","Common Stock","101264.0","4028281.92","0.0026"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","Z","US98954M2008","ZILLOW GROUP INC CL C","Common Stock","82743.0","3984075.45","0.0026"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","PSA","US74460D1090","PUBLIC STORAGE","Common Stock","14358.0","3981616.98","0.0026"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ECL","US2788651006","ECOLAB INC","Common Stock","17459.0","3969129.06","0.0025"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ETSY","US29786A1060","ETSY INC","Common Stock","58414.0","3904391.76","0.0025"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","PODD","US45784P1012","INSULET CORP","Common Stock","22687.0","3870629.07","0.0025"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","PLTK","US72815L1070","PLAYTIKA HOLDING CORP","Common Stock","539985.0","3855492.9","0.0025"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ELV","US0367521038","ELEVANCE HEALTH INC","Common Stock","7380.0","3806825.4","0.0024"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","DUOL","US26603R1068","DUOLINGO INC","Common Stock","16364.0","3717573.52","0.0024"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","EW","US28176E1082","EDWARDS LIFESCIENCES CORP","Common Stock","39320.0","3708269.2","0.0024"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","COLB","US1972361026","COLUMBIA BANKING SYSTEMS INC","Common Stock","202481.0","3630484.33","0.0023"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","KLAC","US4824801009","KLA CORP","Common Stock","5262.0","3583737.72","0.0023"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ZG","US98954M1018","ZILLOW GROUP INC CL A","Common Stock","74016.0","3486153.6","0.0022"
